City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,amuntai,-2.4177,115.2494,25.2,90,96,0.31,ID,1674351853
69,kruisfontein,-34.0033,24.7314,22.71,92,90,6.53,ZA,1674351659
70,upernavik,72.7868,-56.1549,-31.01,94,86,2.59,GL,1674351599
71,sterling,39.0062,-77.4286,3.99,73,20,0.0,US,1674351854
72,burnie,-41.0667,145.9167,22.75,52,9,3.25,AU,1674351855
73,bambous virieux,-20.3428,57.7575,24.14,88,40,1.54,MU,1674351669
74,kavaratti,10.5669,72.642,26.75,68,52,5.56,IN,1674351856
75,chama,47.1821,8.4636,-0.9,87,100,1.54,CH,1674351856
76,syracuse,37.0881,15.2792,5.18,63,67,5.35,IT,1674351562
77,hasaki,35.7333,140.8333,5.12,65,100,3.05,JP,1674351447
78,miandoab,36.9694,46.1027,-2.18,76,2,1.51,IR,1674351858
79,nantucket,41.2835,-70.0995,1.19,73,100,4.12,US,1674351701
80,chokurdakh,70.6333,147.9167,-39.77,100,99,3.09,RU,1674351713
81,nouadhibou,20.931,-17.0347,16.99,63,6,8.75,MR,1674351802
82,faya,18.3851,42.4509,10.06,88,9,0.75,SA,1674351614
83,ushuaia,-54.8,-68.3,8.81,61,40,9.77,AR,1674351709
84,santiago del estero,-27.7951,-64.2615,27.57,60,31,3.61,AR,1674351860
85,gornyy,55.1153,83.9059,-36.38,95,13,2.13,RU,1674351861
86,ancud,-41.8697,-73.8203,15.22,96,99,2.13,CL,1674351694
87,lebu,-37.6167,-73.65,15.15,84,1,5.49,CL,1674351684
88,tutoia,-2.7619,-42.2744,25.79,83,7,4.88,BR,1674351862
89,qaanaaq,77.484,-69.3632,-34.91,61,39,3.08,GL,1674351684
90,leningradskiy,69.3833,178.4167,-39.13,93,17,2.11,RU,1674351855
91,hadejia,12.4498,10.0444,20.36,16,98,3.65,NG,1674351863
92,san quintin,30.4833,-115.95,13.43,58,0,2.81,MX,1674351864
93,chuncheng,22.1731,111.7886,18.34,85,100,0.98,CN,1674351865
94,svecha,58.2785,47.5164,-8.73,94,100,2.48,RU,1674351865
95,antofagasta,-23.65,-70.4,19.6,82,12,1.89,CL,1674351745
96,vouliagmeni,37.8167,23.7833,14.09,80,75,1.03,GR,1674351866
97,manvi,15.9833,77.05,18.9,71,7,1.98,IN,1674351867
98,tafresh,34.692,50.013,-2.87,79,5,1.5,IR,1674351868
99,san patricio,28.017,-97.5169,17.05,85,6,2.77,US,1674351350
100,sao filipe,14.8961,-24.4956,21.46,66,15,6.09,CV,1674351687
101,hornepayne,49.2138,-84.7705,-4.33,92,100,3.54,CA,1674351869
102,katobu,-4.9408,122.5276,29.44,67,99,1.74,ID,1674351870
103,goderich,43.7501,-81.7165,1.06,80,100,6.17,CA,1674351635
104,carnarvon,-24.8667,113.6333,24.5,76,83,6.82,AU,1674351592
105,bela vista,-22.1089,-56.5211,26.37,68,26,2.89,BR,1674351871
106,pravda,46.9396,142.009,-12.31,80,100,7.9,RU,1674351871
107,tezu,27.9167,96.1667,17.59,37,39,0.48,IN,1674351872
108,urucara,-2.5364,-57.76,22.58,98,99,0.56,BR,1674351873
109,touros,-5.1989,-35.4608,26.48,79,1,5.22,BR,1674351873
110,sisimiut,66.9395,-53.6735,-19.12,92,100,10.91,GL,1674351874
111,assiniboia,49.6334,-105.9845,-1.1,93,12,2.57,CA,1674351874
112,butaritari,3.0707,172.7902,27.49,72,100,6.79,KI,1674351677
113,yamada,39.4667,141.95,1.44,38,8,0.87,JP,1674351875
114,port blair,11.6667,92.75,26.02,78,75,2.57,IN,1674351634
115,ghoti,19.7168,73.6245,14.76,50,1,1.34,IN,1674351876
116,karratha,-20.7377,116.8463,30.29,53,49,1.82,AU,1674351791
117,saint-philippe,-21.3585,55.7679,24.77,84,91,3.49,RE,1674351709
118,cidreira,-30.1811,-50.2056,22.42,92,32,2.19,BR,1674351697
119,kasongo-lunda,-6.4667,16.8167,20.61,95,100,0.43,CD,1674351878
120,new norfolk,-42.7826,147.0587,18.84,64,88,0.45,AU,1674351656
121,verkhnyaya toyma,62.2349,44.9985,-15.61,100,88,1.42,RU,1674351879
122,bengkulu,-3.8004,102.2655,26.93,73,91,1.13,ID,1674351807
123,kieta,-6.2167,155.6333,29.49,65,100,1.5,PG,1674351879
124,sansare,14.7472,-90.1125,23.48,66,1,1.91,GT,1674351880
125,tuktoyaktuk,69.4541,-133.0374,-27.47,100,100,1.5,CA,1674351776
126,kathu,7.9178,98.3332,27.9,75,72,3.1,TH,1674351881
127,valparaiso,-33.0393,-71.6273,19.15,100,0,2.57,CL,1674351489
128,clovis,36.8252,-119.7029,11.0,70,0,1.68,US,1674351662
129,sawtell,-30.3833,153.1,24.55,69,100,3.6,AU,1674351882
130,nesna,66.1967,13.0213,6.48,77,100,6.49,NO,1674351883
131,karasjok,69.4719,25.5112,-5.34,85,100,5.17,NO,1674351657
132,tyumentsevo,53.3224,81.498,-33.6,99,16,2.13,RU,1674351883
133,kavieng,-2.5744,150.7967,28.59,73,100,0.83,PG,1674351885
134,hilo,19.7297,-155.09,27.93,57,0,7.72,US,1674351660
